value,name,price,price2,subcategory,index,tags,allergies,style,descr
SS,Seared Saba Oishi Sushi,$8.50 ,,Oishi Sushi (6pc),6,,,,"seared mackerel, ginger, green onion"
CSG,Chicken Teriyaki,$8.00 ,,Meat,1,,,,"8oz chicken, onion, teriyaki sauce"
CSG,Beef Short Ribs,$15.00 ,,Meat,2,,,,"Flanken short ribs marinated with homemade kalbi sauce, spring mix, baby arugula"
CSG,Pork Back Rib,$16.00 ,,Meat,3,,,,"Half size pork back rib braised in sauteed balsamic vegetable stock. Served with baby arugula, dried garlic chips, black pepper sauce"
CSG,Beef Finger Bone,$20.00 ,,Meat,4,,,,"Jumbo beef rib braised in sauteed balsamic vegetable stock. Served with baby arugula, dried garlic chips, black pepper sauce"
CSG,Ikayaki,$12.00 ,,Seafood,1,,,,"Grilled whole squid with teriyaki sauce, mayo on side"
CSG,Saba (Mackerel),$11.00 ,,Seafood,2,,,,"Grilled mackerel, green onion, radish, served with ponzu sauce"
CSG,Hokke (Japanese Mackerel),$24.00 ,,Seafood,3,,,,"Grilled atka mackerel, lemon, green onion, radish, served with ponzu sauce"
CSG,Hamachi Kama,$18.00 ,,Seafood,4,,,,"Grilled yelloy tail's collar, lemon, daikon, green onion, served with ponzu sauce"
CSG,Miso Black Cod,$14.00 ,,Seafood,5,,,,"Sweet miso marinated black cod, grilled and served with mayo and lemon."
CSG,Teriyaki Lemon Okra,$7.50 ,,Vegetable,1,,,,"Stir fried okra, with teriyaki sauce"
CSG,Spicy Miso Zucchini,$7.50 ,,Vegetable,2,,,,"Grilled Zucchini, spicy miso sauce"
CSG,Roasted Garlic Broccolini,$7.50 ,,Vegetable,3,,,,"Grilled broccolini, roasted garlic pepper, served with dried garlic chips"
CSG,Grilled Asparagus,$7.50 ,,Vegetable,4,,,,"Grilled asparagus, seafood sauce, lemon"
CSG,Japanese Wagyu Steak,$48.00 ,,Stone Grill,1,,,,4oz stone grilled japanese wagyu ribeye served with magic steak sauce and chimichurri sauce
CSG,Rockin' New Zealand Lamb,$18.00 ,,Stone Grill,2,,,,3 pieces of stone grilled lamb served with two of our original sauces
CSG,Rockin' Duck Chop,$18.00 ,,Stone Grill,3,,,,3 pieces of stone grilled duck served with two of our original sauces
CSG,Rockin' Angus Beef,$22.00 ,,Stone Grill,4,,,,8oz stone-grilled angus beef served with two of our original sauces
CSG,Seafood Fried Rice,$12.00 ,,Stone Grill,5,,,,"Seafood garlic fried rice in a hot stone bowl served with an egg, green onions and dried garlic chips"
YAK,Momo,$2.60 ,,Chicken Skewers,1,,,,Chicken Thighs
YAK,Cheese Yaki,$2.80 ,,Chicken Skewers,2,,,,Momo with cheese
YAK,Shiso Maki,$2.90 ,,Chicken Skewers,3,,,,Momo with shiso leaf
YAK,Negima,$2.60 ,,Chicken Skewers,4,,,,Momo with green onion
YAK,Hatsu,$2.60 ,,Chicken Skewers,5,,,,Chicken Heart
YAK,Sunagimo,$2.60 ,,Chicken Skewers,6,,,,Chicken Gizzard
YAK,Kawa,$2.50 ,,Chicken Skewers,7,,,,Chicken Skin
YAK,Teriyaki Tsukune,$2.90 ,,Chicken Skewers,8,,,,Chicken Meatball
YAK,Shiso Tsukune,$2.90 ,,Chicken Skewers,9,,,,Chicken Meatball with shiso leaf
YAK,P-Toro,$2.90 ,,Pork Skewers,1,,,,Pork belly with kimchi sauce
YAK,P-Neck,$2.90 ,,Pork Skewers,2,,,,Pork neck with kimchi sauce
YAK,Negi Maki,$2.60 ,,Pork Skewers,3,,,,Bacon wrapped green onion
YAK,Uzura Maki,$2.60 ,,Pork Skewers,4,,,,Bacon wrapped quail egg
YAK,Sausage,$3.80 ,,Pork Skewers,5,,,,Grilled pork sausage
YAK,Gyu Tan,$2.90 ,,Beef Skewers,1,,,,Beef tongue
YAK,Negi Tan,$3.30 ,,Beef Skewers,2,,,,"Beef tongue with green onion, daikon, ponzu sauce"
YAK,Gyu Angus,$4.90 ,,Beef Skewers,3,,,,CAB angus beef with magic steak sauce
YAK,Ebi,$4.90 ,,Seafood Skewers,1,,,,Black tiger shrimp (3pc)
YAK,Unagi,$5.90 ,,Seafood Skewers,2,,,,Fresh water eel
YAK,Hotate,$5.60 ,,Seafood Skewers,3,,,,Whole scallop with roe (2pc)
YAK,Lobster Tail,$7.90 ,,Seafood Skewers,4,,,,Lobster tail with seafood sauce
YAK,Butter Corn,$2.60 ,,Vegetable Skewers,1,,,,Sweet corn with butter
NDL,Lobster Bisque Udon Soup,$18.00 ,,Udon,1,,,,"Creamy lobster bisque, real lobster meat, green onion, baby arugula, japanese thick udon noodle"
NDL,Seafood Udon Soup,$12.00 ,,Udon,2,,,,"Seafood base japanese soup, shrimp, squid, scallop, green onion, japanese thick udon noodle"
NDL,Seafood Yaki Udon,$12.00 ,,Udon,3,,,,"Shrimp, squid, scallops, shimeji mushroom, japanese thick udon noodle, stir fried with teriyaki sauce. Served with green onion, dry seaweed, sesame seeds"
NDL,Smoked Duck Soba Soup,$12.00 ,,Soba,1,,,,"Seafood base japanese soup, smoked duck breast slices, green onion, hapanese thin soba noodle"
NDL,Seafood Soba Noodle Soup,$12.00 ,,Soba,2,,,,"Seafood base japanese soup, shrimp, squid, scallop, green onion, japanese thick soba noodle"
